kind,title,url,source_file,local_path,status,sha256,note
local_forensic_copy,Минэк_извлеченный_текст_v6.txt,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/Минэк_извлеченный_текст_v6.txt,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Минэк_извлеченный_текст_v6.txt,copied,df5cc8dd1f5826f6fa06268af8e63f8610023f31b5d0c7d54dd59c339a9341a8,Original file from requested evidence folder
local_forensic_copy,Минэк_локальный_HTML_снимок_v6.html,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/Минэк_локальный_HTML_снимок_v6.html,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Минэк_локальный_HTML_снимок_v6.html,copied,f3a50406a15713d5712ce369a64a699988fbb38d4287d1835ca22767a16aba51,Original file from requested evidence folder
local_forensic_copy,Минэк_локальный_PDF_снимок_v6.pdf,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/Минэк_локальный_PDF_снимок_v6.pdf,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Минэк_локальный_PDF_снимок_v6.pdf,copied,f2465371c30d25f581e9fdcd56ac213581cbda048d40e18f3c7e630699604baf,Original file from requested evidence folder
local_forensic_copy,Минэк_оригинальный_MHT_пользователя.mht,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/Минэк_оригинальный_MHT_пользователя.mht,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Минэк_оригинальный_MHT_пользователя.mht,copied,4481546586d717e8c05e4aa3389e316c777ea5a7df8dae49fd5170fe2c89b800,Original file from requested evidence folder
local_forensic_copy,ПП_1510_ruID_справочно.txt,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/ПП_1510_ruID_справочно.txt,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/ПП_1510_ruID_справочно.txt,copied,7a5e8de76fe27351e5a8c6e8693cc3509ea931dfea4e8a4b0207feb30ee2ec11,Original file from requested evidence folder
local_forensic_copy,ПП_2573_критерии_инвестора.txt,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/ПП_2573_критерии_инвестора.txt,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/ПП_2573_критерии_инвестора.txt,copied,f4368cf5b5caf8c58d15062bbac96de9310884987271fc02a5b856384838afbb,Original file from requested evidence folder
local_forensic_copy,Памятка_по_сравнению_материалов_СС_v2.pdf,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/Памятка_по_сравнению_материалов_СС_v2.pdf,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Памятка_по_сравнению_материалов_СС_v2.pdf,copied,cc4faff297cb992b26fa293bd8c3bbf166a45469847f506592bd4ae5e23b7ac7,Original file from requested evidence folder
local_forensic_copy,Показатели Миграции 2026_ВЦИОМ.pdf,,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/Показатели Миграции 2026_ВЦИОМ.pdf,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/local_copies/Показатели Миграции 2026_ВЦИОМ.pdf,copied,c1444f509b77e1a10d778bb6618e73800da4453c55e54cc94320790e9d860cfa,Original file from requested evidence folder
external_source,D21_ПП1510_снимок_релевантных_положений_v7.txt; [manual] ПП РФ 1510 Garant,https://base.garant.ru/410728090/,D21_ПП1510_снимок_релевантных_положений_v7.txt|[manual] ПП РФ 1510 Garant,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external/001_base.garant.ru_410728090.html,downloaded,53a2e10a21b4fb7826a57a8e6faedb74e3e190569ef98a33cb8be0726dd814f1,bytes=127493
external_source,D25_281ФЗ_снимок_релевантных_положений_v7.txt; [manual] 281-ФЗ Garant,https://base.garant.ru/412423444/,D25_281ФЗ_снимок_релевантных_положений_v7.txt|[manual] 281-ФЗ Garant,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external/002_base.garant.ru_412423444.html,downloaded,9d708ee7501288db37e6e9ca209e35e37fe0a54696fb3e95f8190572bc5a4fab,bytes=77785
