title,url,status,local_path,sha256,note
Минэк implementation letter 2573 Consultant card,https://www.consultant.ru/document/cons_doc_LAW_459829/,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks_round3_minek/001_Минэк_implementation_letter_2573_Consultant_card_www.consultant.ru_document_cons_doc_LAW_459829.html,103a23591c4ae6a5dc70f60ae079d6b84b3925136fd29c199547cb1a1fae8f42,bytes=40266
Минэк implementation letter 2573 Kontur current,https://normativ.kontur.ru/document?documentId=457823&moduleId=8,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks_round3_minek/002_Минэк_implementation_letter_2573_Kontur_current_normativ.kontur.ru_document.html,58a1d323b366f65d6d6038a567d93e15ab69475aed99d7fd35154f6ad65e5424,bytes=23335
Минэк old letter 282-ДВ-Д06ВН Kontur,https://normativ.kontur.ru/document?documentId=445496&moduleId=8,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks_round3_minek/003_Минэк_old_letter_282-ДВ-Д06ВН_Kontur_normativ.kontur.ru_document.html,034cb5ecc1013df3d61f33cf3ed2a964778369bdd540d17e37438d19659f0c4a,bytes=26571
Минэк implementation letter regional Consultant mirror,https://prime.ru/news/minekonomrazvitiya-soobschaet-o-poryadke-napravleniya-obrascheniy-dlya-polucheniya-vnzh-v-uproschennom-poryadke-inostrannym-litsom-osuschestvivshim-investitsii-v-rossii,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks_round3_minek/004_Минэк_implementation_letter_regional_Consultant_mirror_prime.ru_news_minekonomrazvitiya-soobschaet-o-poryadke-napravleniya-obrascheniy-dlya-polucheniya-vnzh-v-uproschennom-poryadke-inostrannym-litsom-osusc.html,441eb4dafd69c3722049028850151fadfdc17488febc9ba12ce3d432f8a5ad7a,bytes=64379
